	Data	List of sets
258	картридж	{'10.01', '10.05', '10.02', '10.09', '10.06', '10.08'}
259	картридж	{'10.01', '10.05', '10.02', '10.09', '10.06', '10.08'}
260	картридж	{'10.01', '10.05', '10.02', '10.09', '10.06', '10.08'}
261	картридж samsung mlt	{'10.06', '10.01'}
262	картридж	{'10.01', '10.05', '10.02', '10.09', '10.06', '10.08'}
263	картридж	{'10.01', '10.05', '10.02', '10.09', '10.06', '10.08'}
264	картридж mlt	{'10.01'}
265	картридж fad	{'10.01'}
266	картридж mlt	{'10.01'}
267	черный	{'10.11.01', '10.01', '10.05', '10.02', '10.09', '10.10', '10.06', '10.12', '10.08'}
268	xerox	{'10.09', '10.08', '10.06', '10.01'}
269	тонер картридж xerox	{'10.06', '10.01'}
270	тонер xerox	{'10.06', '10.01'}
271	картридж	{'10.01', '10.05', '10.02', '10.09', '10.06', '10.08'}
272	картридж голуб	{'10.01', '10.05'}
273	принт картридж стр	{'10.01'}
274	принт картридж сеа	{'10.01'}
275	тонер картридж xerox	{'10.06', '10.01'}
276	картридж canon pixma	{'10.01'}
277	картридж желт	{'10.01', '10.05'}
278	картридж рro син	{'10.01'}
279	принт картридж	{'10.06', '10.01'}
280	принт картридж сеа сеа	{'10.01'}
281	картридж	{'10.01', '10.05', '10.02', '10.09', '10.06', '10.08'}
282	картридж красн	{'10.01'}
283	картридж epson цвета	{'10.01'}
284	картридж epson набор	{'10.01'}
285	видеокарты	{'10.01'}
286	оперативная память	{'10.09', '10.01'}
287	накопитель твердотельный	{'10.01'}
288	карта памяти	{'10.09', '10.06', '10.01'}
289	карта памяти	{'10.09', '10.06', '10.01'}
290	карта памяти	{'10.09', '10.06', '10.01'}
291	модуль памяти	{'10.09', '10.02', '10.01'}
292	материнская плата msi	{'10.01'}
293	материнская плата asus	{'10.01'}
294	флэш драйв	{'10.01'}
295	ридеры карт памяти внешние	{'10.01'}
296	сетевой фильтр	{'10.11.02', '10.01', '10.09', '10.02', '10.06'}
297	компакт диск	{'10.01'}
298	корпус	{'10.01', '10.05', '10.02', '10.09', '10.06', '10.12', '10.08'}
299	файл вкладыш	{'10.09', '10.06', '10.01'}
300	антистеплер	{'10.09', '10.06', '10.01'}
301	блок кубик	{'10.09', '10.06', '10.01'}
302	блокнот	{'10.09', '10.06', '10.01'}
303	блокнот	{'10.09', '10.06', '10.01'}
304	бумага заметок	{'10.06', '10.01'}
305	бумага заметок	{'10.06', '10.01'}
306	грамота	{'10.09', '10.06', '10.01'}
307	дырокол	{'10.09', '10.06', '10.01'}
308	дырокол	{'10.09', '10.06', '10.01'}
309	ежедневник	{'10.09', '10.06', '10.01'}
310	зажимы	{'10.09', '10.06', '10.01'}
311	зажимы бумаг	{'10.09', '10.06', '10.01'}
312	зажимы бумаг	{'10.09', '10.06', '10.01'}
313	закладки	{'10.09', '10.06', '10.01'}
314	календарь	{'10.06', '10.01'}
315	календарь настенный	{'10.06', '10.01'}
316	календарь перекидной	{'10.01'}
317	калькулятор	{'10.09', '10.12', '10.06', '10.01'}
318	канцтовары	{'10.01'}
319	карандаш	{'10.01', '10.09', '10.06', '10.12', '10.08'}
320	клей	{'10.01', '10.05', '10.02', '10.09', '10.06', '10.12', '10.08'}
321	клей карандаш	{'10.09', '10.06', '10.01'}
322	книга учета	{'10.09', '10.06', '10.01'}
323	кнопки	{'10.01', '10.05', '10.09', '10.02', '10.06'}
324	конверт	{'10.09', '10.06', '10.01', '10.05'}
325	корректирующая жидкость	{'10.09', '10.06', '10.01'}
326	корректирующий роллер	{'10.09', '10.06', '10.01'}
327	ластик	{'10.11.01', '10.01', '10.05', '10.02', '10.09', '10.10', '10.06', '10.12', '10.08'}
328	лезвие ножей	{'10.01'}
329	лента клейкая	{'10.09', '10.06', '10.01'}
330	линейка	{'10.09', '10.12', '10.06', '10.01'}
331	маркер	{'10.11.02', '10.01', '10.05', '10.09', '10.06', '10.08'}
332	маркер перманентный	{'10.09', '10.06', '10.01'}
333	набор маркеров	{'10.09', '10.06', '10.01'}
334	нож канцелярский	{'10.09', '10.12', '10.06', '10.01'}
335	ножницы	{'10.11.02', '10.01', '10.09', '10.02', '10.06', '10.12', '10.08'}
336	папка	{'10.09', '10.06', '10.01'}
337	папка кольцах	{'10.09', '10.06', '10.01'}
338	папка поздравительная	{'10.01'}
339	папка файлами	{'10.06', '10.01'}
340	папка конверт	{'10.09', '10.06', '10.01'}
341	папка скоросшив дело	{'10.01'}
342	папка скоросшив прозрач верхом	{'10.01'}
343	папка уголок	{'10.09', '10.06', '10.01'}
344	резак канцелярский	{'10.01'}
345	резинка банковская	{'10.09', '10.06', '10.01'}
346	ручки	{'10.01', '10.05', '10.02', '10.09', '10.06', '10.12', '10.08'}
347	ручки гелевые	{'10.01'}
348	скобы	{'10.01', '10.05', '10.02', '10.09', '10.06', '10.08'}
349	скобы	{'10.01', '10.05', '10.02', '10.09', '10.06', '10.08'}
350	скотч	{'10.01', '10.05', '10.09', '10.06', '10.08'}
351	скотч сторон	{'10.06', '10.01', '10.05'}
352	скрепки	{'10.09', '10.06', '10.01'}
353	скрепки	{'10.09', '10.06', '10.01'}
354	степлер	{'10.09', '10.08', '10.06', '10.01'}
355	степлер	{'10.09', '10.08', '10.06', '10.01'}
356	степлер	{'10.09', '10.08', '10.06', '10.01'}
357	степлер мини	{'10.09', '10.01'}
358	стержень шариковой ручки	{'10.06', '10.01'}
359	тетрадь	{'10.09', '10.06', '10.01'}
360	тетрадь листов	{'10.09', '10.06', '10.01'}
361	точилка	{'10.09', '10.06', '10.01'}
362	точилка отв	{'10.01'}
363	точилка механическая	{'10.06', '10.01'}
364	штамп копия верна	{'10.09', '10.01'}
365	коробка распаечная	{'10.08', '10.01'}
366	распаячная коробка	{'10.01'}
367	распаячная коробка	{'10.01'}
368	кабель канал	{'10.01', '10.09', '10.02', '10.06', '10.08'}
369	кабель канал	{'10.01', '10.09', '10.02', '10.06', '10.08'}
370	коробка	{'10.01', '10.05', '10.02', '10.06', '10.08'}
371	кабель	{'10.11.02', '10.01', '10.05', '10.02', '10.09', '10.10', '10.06', '10.08'}
372	кабель	{'10.11.02', '10.01', '10.05', '10.02', '10.09', '10.10', '10.06', '10.08'}
373	ключ комбин	{'10.09', '10.12', '10.01'}
374	ключ комбиниров	{'10.09', '10.12', '10.01'}
375	ключ комбиниров	{'10.09', '10.12', '10.01'}
376	ключ шестигранный	{'10.12', '10.01'}
377	ключ шестигранный	{'10.12', '10.01'}
378	ключи комбинир	{'10.01'}
379	ключ шестигранный	{'10.12', '10.01'}
380	ключ накидной	{'10.09', '10.12', '10.01'}
381	ключ рожковый	{'10.09', '10.12', '10.01', '10.05'}
382	ключ рожковый	{'10.09', '10.12', '10.01', '10.05'}
383	ключ рожковый	{'10.09', '10.12', '10.01', '10.05'}
384	ключ рожковый	{'10.09', '10.12', '10.01', '10.05'}
385	ключ трубчатый металл	{'10.01'}
386	ключ трубчатый	{'10.01'}
387	ключ трубчатый металл	{'10.01'}
388	ключ трубчатый	{'10.01'}
389	ключ гаечный накидной	{'10.09', '10.01'}
390	ключ газовый	{'10.09', '10.11.02', '10.01'}
391	ключ газовый	{'10.09', '10.11.02', '10.01'}
392	ключ газовый	{'10.09', '10.11.02', '10.01'}
393	ключ газовый	{'10.09', '10.11.02', '10.01'}
394	ключ накидной металл	{'10.12', '10.01'}
395	ключ трубный	{'10.09', '10.12', '10.01'}
396	ключ трубный	{'10.09', '10.12', '10.01'}
397	ключ динамометрический	{'10.09', '10.12', '10.01'}
398	ключ балонный торцовый	{'10.01'}
399	ключ торцевой коленчатый	{'10.01'}
400	ключ торцевой обр	{'10.01'}
401	ключ прокачной	{'10.01'}
402	набор ключей комби	{'10.09', '10.12', '10.01'}
403	набор ключей накидных	{'10.09', '10.12', '10.06', '10.01'}
404	ключ балон	{'10.01'}
405	ключ балонный усил	{'10.01'}
406	ключ ступицы	{'10.01'}
407	ключ имбусовый	{'10.01'}
408	коврик мыши	{'10.09', '10.06', '10.01', '10.05'}
409	коврик мыши	{'10.09', '10.06', '10.01', '10.05'}
410	коврик диэлектрический	{'10.11.01', '10.01', '10.10', '10.06', '10.08'}
411	коврик диэлектрический	{'10.11.01', '10.01', '10.10', '10.06', '10.08'}
412	коврик диэлектрический	{'10.11.01', '10.01', '10.10', '10.06', '10.08'}
413	коврик резиновый	{'10.09', '10.06', '10.01'}
414	клемма заземления	{'10.08', '10.01'}
415	кабель бухтах	{'10.01'}
416	короб	{'10.01', '10.05', '10.03', '10.02', '10.09', '10.10', '10.06', '10.08'}
417	короб	{'10.01', '10.05', '10.03', '10.02', '10.09', '10.10', '10.06', '10.08'}
418	кнопка клавишная	{'10.01'}
419	клеммник	{'10.08', '10.01'}
420	камень заточн	{'10.01'}
421	карточка павильона	{'10.01'}
422	круг лепестковый шлифовальный	{'10.01'}
423	круг шлифовальный	{'10.01'}
424	круг шлифовальный липучке	{'10.01'}
425	круг лепестковый шлифовальный	{'10.01'}
426	круг алмаз отрезн	{'10.01'}
427	круг алмазный асфальту	{'10.01'}
428	круг отрезной металлу	{'10.01', '10.09', '10.02', '10.12', '10.08'}
429	круг отрезной металлу	{'10.01', '10.09', '10.02', '10.12', '10.08'}
430	круг отрезной металлу	{'10.01', '10.09', '10.02', '10.12', '10.08'}
431	круг отрезной	{'10.11.02', '10.01', '10.05', '10.02', '10.09', '10.10', '10.06', '10.12', '10.08'}
432	круг дереву	{'10.01'}
433	кисть плоская	{'10.09', '10.08', '10.06', '10.01'}
434	кисть круглая	{'10.09', '10.08', '10.06', '10.01'}
435	кисть круглая	{'10.09', '10.08', '10.06', '10.01'}
436	кисть радиаторная	{'10.09', '10.01'}
437	круг	{'10.11.02', '10.01', '10.05', '10.02', '10.09', '10.10', '10.06', '10.04', '10.12', '10.08', '10.07'}
438	круг	{'10.11.02', '10.01', '10.05', '10.02', '10.09', '10.10', '10.06', '10.04', '10.12', '10.08', '10.07'}
439	клей обоев	{'10.01'}
440	кислород куб	{'10.01'}
441	кислород куб	{'10.01'}
442	кислород	{'10.01', '10.05', '10.02', '10.09', '10.06', '10.12', '10.08'}
443	кислород	{'10.01', '10.05', '10.02', '10.09', '10.06', '10.12', '10.08'}
444	кусачки торцовые	{'10.01'}
445	клещи	{'10.09', '10.12', '10.06', '10.01'}
446	клещи	{'10.09', '10.12', '10.06', '10.01'}
447	компрессометр	{'10.12', '10.01'}
448	крепление крышки податчика	{'10.01'}
449	керосинорез	{'10.09', '10.01'}
450	карта гор ориентир павильонов наземн	{'10.01'}
451	коннектор	{'10.01', '10.09', '10.02', '10.06', '10.08'}
452	краскопульт	{'10.09', '10.12', '10.01'}
453	кренометр	{'10.01'}
454	крепеж лотка водоотводного	{'10.01'}
455	концентрат мытья стекол	{'10.01'}
456	кран манометра ход контрольным паз	{'10.01'}
457	краги спилковые	{'10.11.01', '10.01', '10.09', '10.10', '10.06'}
458	краги спилковые	{'10.11.01', '10.01', '10.09', '10.10', '10.06'}
459	ковролин мередиан резине	{'10.01'}
460	карточка учета материалов	{'10.06', '10.01'}
461	карточка визитная лен	{'10.01'}
462	конверт почтовый	{'10.01'}
463	контроллер espada efwa	{'10.01'}
464	коврики велюровые	{'10.01'}
465	коврики резиновые	{'10.01'}
466	ковер травка	{'10.01'}
467	колесо кресла офисного	{'10.01'}
468	коробка брус	{'10.01'}
469	кельма бетонщика	{'10.09', '10.01'}
470	кельма каменьщика	{'10.01'}
471	колонки defender aurora	{'10.01'}
472	концентратор портов	{'10.01'}
473	спортивный костюм	{'10.01'}
474	календарь квартальный	{'10.06', '10.01'}
475	кабель медный	{'10.01'}
476	автокарта настенная	{'10.01'}
477	киянка резининовая	{'10.12', '10.01'}
478	конус дорожный	{'10.06', '10.01'}
479	лампа дрл	{'10.02', '10.06', '10.01'}
480	лампа ртутная дрл	{'10.02', '10.06', '10.01'}
481	лампа дрл	{'10.02', '10.06', '10.01'}
482	лампа дрл	{'10.02', '10.06', '10.01'}
483	лампа дрл	{'10.02', '10.06', '10.01'}
484	излучатель тепловой	{'10.01'}
485	лампа люминисцентная	{'10.08', '10.02', '10.01'}
486	лампа	{'10.01', '10.05', '10.02', '10.09', '10.06', '10.08'}
487	лампа ртутная дрл	{'10.02', '10.06', '10.01'}
488	лампа накал	{'10.01', '10.05', '10.02', '10.09', '10.06', '10.08'}
489	лампа энергосберегающая	{'10.01', '10.09', '10.02', '10.06', '10.08'}
490	лампа энергосберегающ	{'10.01', '10.09', '10.02', '10.06', '10.08'}
491	лампа переноска	{'10.01', '10.05'}
492	лампа переноска	{'10.01', '10.05'}
493	лешка образный профиль	{'10.01'}
494	личинка замка	{'10.09', '10.08', '10.01'}
495	лезвия	{'10.09', '10.12', '10.06', '10.01'}
496	лампа галоген	{'10.01', '10.05', '10.02', '10.09', '10.06', '10.08'}
497	лампа галоген	{'10.01', '10.05', '10.02', '10.09', '10.06', '10.08'}
498	лампа галогенная	{'10.01', '10.05', '10.02', '10.06', '10.08'}
499	лампа	{'10.01', '10.05', '10.02', '10.09', '10.06', '10.08'}
500	лоток водоотводный	{'10.01'}
501	лампа	{'10.01', '10.05', '10.02', '10.09', '10.06', '10.08'}
502	лампа дневн	{'10.01'}
503	лента оградительная ммх	{'10.01'}
504	лента сигнальная	{'10.09', '10.08', '10.06', '10.01'}
505	лен сантехнич пакет	{'10.01'}
506	лен волокно	{'10.01'}
507	фум лента	{'10.08', '10.01'}
508	лента уплотнительная	{'10.06', '10.01'}
509	лезвия ножей	{'10.01'}
510	изолента	{'10.01', '10.05', '10.02', '10.09', '10.06', '10.08'}
511	изолента	{'10.01', '10.05', '10.02', '10.09', '10.06', '10.08'}
512	изолента пвх	{'10.01', '10.05', '10.02', '10.06', '10.08'}
513	изолента пвх	{'10.01', '10.05', '10.02', '10.06', '10.08'}
514	клейкая лента упаков	{'10.06', '10.01'}
515	клейкая лента упаковочная	{'10.06', '10.01'}
516	люверсы vektor оцинкованные	{'10.01'}
517	литература охране труда	{'10.01'}
518	леска	{'10.08', '10.06', '10.01', '10.05'}
519	линолеум	{'10.08', '10.06', '10.01'}
520	лист	{'10.11.01', '10.01', '10.05', '10.03', '10.02', '10.09', '10.10', '10.06', '10.12', '10.08', '10.07'}
521	болт	{'10.01', '10.05', '10.02', '10.09', '10.06', '10.08'}
522	болт полной резьбой	{'10.01'}
523	болты	{'10.08', '10.02', '10.01', '10.05'}
524	болт	{'10.01', '10.05', '10.02', '10.09', '10.06', '10.08'}
